iter	Passed	Remaining
930	19278	11782
931	19299	11761
932	19323	11742
933	19345	11723
934	19363	11701
935	19385	11681
936	19408	11661
937	19429	11640
938	19455	11623
939	19479	11604
940	19502	11585
941	19522	11564
942	19546	11545
943	19565	11523
944	19586	11502
945	19609	11483
946	19631	11463
947	19651	11442
948	19676	11424
949	19696	11403
950	19721	11384
951	19742	11364
952	19763	11343
953	19787	11324
954	19806	11302
955	19827	11282
956	19848	11262
957	19871	11242
958	19892	11222
959	19914	11201
960	19935	11181
961	19957	11161
962	19976	11139
963	19997	11119
964	20022	11100
965	20045	11080
966	20065	11059
967	20089	11040
968	20110	11020
969	20153	11011
970	20173	10990
971	20193	10969
972	20213	10948
973	20234	10927
974	20258	10908
975	20279	10887
976	20298	10866
977	20320	10845
978	20341	10825
979	20363	10804
980	20381	10783
981	20402	10762
982	20424	10741
983	20444	10721
984	20468	10701
985	20497	10685
986	20517	10664
987	20540	10644
988	20607	10647
989	20707	10667
990	20746	10656
991	20783	10643
992	20808	10624
993	20836	10606
994	20860	10587
995	20888	10569
996	20913	10551
997	20936	10531
998	20956	10509
999	20973	10486
1000	20994	10465
1001	21015	10444
1002	21037	10424
1003	21057	10402
1004	21078	10382
1005	21099	10361
1006	21120	10339
1007	21164	10330
1008	21186	10309
1009	21208	10289
1010	21230	10268
1011	21250	10247
1012	21270	10225
1013	21290	10204
1014	21309	10182
1015	21330	10161
1016	21350	10139
1017	21378	10122
1018	21401	10102
1019	21423	10081
1020	21444	10060
1021	21466	10039
1022	21490	10020
1023	21513	10000
1024	21535	9979
1025	21557	9959
1026	21581	9939
1027	21601	9918
1028	21622	9897
1029	21642	9875
1030	21663	9854
1031	21682	9832
1032	21705	9812
1033	21724	9790
1034	21745	9769
1035	21765	9748
1036	21786	9727
1037	21807	9706
1038	21828	9685
1039	21846	9662
1040	21867	9642
1041	21888	9621
1042	21909	9599
1043	21929	9578
1044	21949	9556
1045	21970	9535
1046	21991	9515
1047	22011	9493
1048	22034	9473
1049	22055	9452
1050	22077	9431
1051	22098	9410
1052	22120	9390
1053	22142	9369
1054	22193	9361
1055	22217	9341
1056	22244	9322
1057	22291	9312
1058	22314	9292
1059	22341	9273
1060	22366	9254
1061	22392	9235
1062	22421	9217
1063	22449	9199
1064	22477	9181
1065	22501	9161
1066	22526	9141
1067	22549	9121
1068	22570	9099
1069	22592	9079
1070	22614	9058
1071	22639	9039
1072	22660	9017
1073	22683	8997
1074	22706	8976
1075	22725	8955
1076	22747	8934
1077	22767	8912
1078	22790	8892
1079	22812	8871
1080	22834	8850
1081	22854	8829
1082	22873	8807
1083	22893	8785
1084	22912	8763
1085	22932	8742
1086	22951	8720
1087	22971	8698
1088	22990	8676
1089	23011	8655
1090	23034	8635
1091	23053	8613
1092	23075	8592
1093	23095	8571
1094	23115	8549
1095	23138	8529
1096	23159	8508
1097	23204	8495
