iter	Passed	Remaining
938	26784	44526
939	26806	44488
940	26828	44447
941	26847	44403
942	26869	44364
943	26889	44321
944	26910	44281
945	26942	44259
946	26973	44234
947	26999	44201
948	27026	44170
949	27056	44144
950	27100	44140
951	27130	44116
952	27150	44073
953	27172	44034
954	27191	43990
955	27210	43946
956	27228	43901
957	27246	43855
958	27266	43813
959	27282	43766
960	27303	43725
961	27325	43686
962	27345	43645
963	27363	43599
964	27382	43556
965	27412	43530
966	27445	43510
967	27475	43483
968	27499	43448
969	27525	43416
970	27555	43390
971	27573	43346
972	27592	43303
973	27617	43269
974	27639	43230
975	27657	43186
976	27675	43141
977	27693	43098
978	27738	43095
979	27886	43253
980	27921	43234
981	27951	43208
982	27989	43194
983	28013	43159
984	28037	43123
985	28059	43085
986	28078	43042
987	28096	42998
988	28121	42964
989	28150	42936
990	28175	42902
991	28192	42857
992	28213	42818
993	28232	42774
994	28252	42733
995	28273	42694
996	28292	42651
997	28311	42609
998	28328	42563
999	28352	42528
1000	28373	42489
1001	28393	42448
1002	28412	42406
1003	28430	42362
1004	28448	42318
1005	28464	42272
1006	28483	42230
1007	28500	42185
1008	28517	42140
1009	28537	42099
1010	28556	42057
1011	28575	42015
1012	28591	41969
1013	28607	41923
1014	28627	41883
1015	28649	41846
1016	28668	41805
1017	28686	41761
1018	28705	41720
1019	28724	41678
1020	28746	41642
1021	28773	41611
1022	28789	41566
1023	28807	41523
1024	28824	41478
1025	28843	41437
1026	28868	41405
1027	29947	42881
1028	29980	42858
1029	30004	42821
1030	30028	42786
1031	30049	42744
1032	30066	42698
1033	30092	42664
1034	30112	42622
1035	30130	42578
1036	30147	42531
1037	30163	42484
1038	30181	42439
1039	30200	42396
1040	30225	42362
1041	30250	42327
1042	30268	42282
1043	30289	42243
1044	30306	42197
1045	30323	42151
1046	30342	42108
1047	30359	42063
1048	30376	42017
1049	30393	41972
1050	30411	41927
1051	30432	41887
1052	30455	41850
1053	30473	41806
1054	30490	41761
1055	30508	41718
1056	30531	41680
1057	30551	41639
1058	30569	41596
1059	30589	41555
1060	30621	41530
1061	30639	41487
1062	30659	41446
1063	30676	41401
1064	30693	41356
1065	30710	41312
1066	30732	41273
1067	30751	41231
1068	30769	41188
1069	30785	41142
1070	30803	41099
1071	30821	41056
1072	30842	41017
1073	30860	40974
1074	30875	40928
1075	30891	40882
1076	30910	40840
1077	30929	40799
1078	30970	40786
1079	31124	40922
1080	31155	40897
1081	31180	40862
1082	31208	40833
1083	31230	40796
1084	31257	40763
1085	31286	40736
1086	31303	40691
1087	31319	40646
1088	31338	40605
1089	31357	40563
1090	31375	40520
1091	31398	40484
1092	31417	40443
1093	31438	40404
1094	31455	40360
1095	31481	40327
1096	31500	40287
1097	31517	40243
1098	31536	40203
1099	31554	40160
1100	31574	40120
1101	31593	40079
1102	31613	40040
1103	31632	39999
1104	31650	39957
1105	31668	39914
1106	31688	39875
1107	31710	39838
1108	31735	39805
1109	31758	39769
1110	31783	39736
1111	31802	39696
1112	31820	39654
1113	31838	39612
1114	31859	39573
1115	31878	39534
1116	31898	39494
1117	31916	39453
1118	31942	39421
1119	31967	39388
1120	31991	39354
1121	32018	39324
1122	32039	39286
1123	32056	39244
1124	32077	39205
1125	32095	39164
1126	32147	39164
1127	32285	39269
1128	32328	39258
1129	32355	39227
1130	32380	39194
1131	32400	39155
1132	32420	39116
1133	32440	39077
1134	32459	39036
1135	32477	38995
1136	32494	38953
1137	32523	38924
1138	32559	38905
1139	32592	38881
1140	32620	38853
1141	32646	38821
1142	32676	38794
1143	32706	38767
1144	32733	38737
1145	32761	38707
1146	32778	38665
1147	32796	38624
1148	32820	38591
1149	32841	38552
1150	32860	38513
1151	32879	38473
1152	32897	38433
1153	32925	38404
1154	32957	38378
1155	32986	38351
1156	33013	38320
1157	33031	38280
1158	33047	38237
1159	33066	38196
1160	33085	38158
1161	33103	38117
1162	33121	38077
1163	33140	38037
1164	33162	38002
1165	33188	37970
1166	33211	37935
1167	33233	37900
1168	33257	37865
1169	33364	37927
1170	33650	38191
1171	33774	38270
1172	33925	38379
1173	34016	38420
1174	34102	38456
1175	34146	38443
1176	34187	38428
1177	34227	38411
1178	34252	38378
1179	34277	38344
1180	34307	38315
1181	34347	38299
1182	34457	38360
1183	34568	38422
1184	34713	38521
1185	34740	38489
1186	34773	38464
1187	34803	38436
1188	34825	38398
1189	34846	38360
1190	34865	38320
1191	34885	38280
1192	34905	38240
1193	34925	38201
1194	34944	38161
1195	35011	38173
1196	35125	38236
1197	35316	38382
1198	35457	38474
1199	35529	38490
1200	35625	38532
1201	35709	38561
1202	35862	38664
1203	36077	38833
1204	36117	38814
1205	36144	38781
1206	36170	38747
1207	36192	38709
1208	36226	38683
1209	36253	38650
1210	36279	38616
1211	36305	38582
1212	36329	38546
1213	36359	38516
1214	36383	38480
1215	36413	38449
1216	36441	38417
1217	36467	38383
1218	36491	38347
1219	36515	38311
1220	36545	38281
1221	36613	38291
1222	36652	38270
1223	36685	38243
1224	36711	38210
1225	36736	38174
1226	36759	38137
1227	36783	38101
1228	36803	38061
1229	36828	38026
1230	36851	37989
1231	36875	37953
1232	36897	37915
1233	36921	37879
1234	36946	37843
1235	36971	37808
1236	36995	37773
1237	37055	37773
1238	37240	37901
1239	37290	37892
1240	37329	37870
1241	37355	37837
1242	37378	37799
1243	37404	37764
1244	37428	37729
1245	37452	37693
1246	37470	37650
1247	37494	37614
1248	37516	37576
1249	37540	37540
1250	37565	37505
1251	37592	37472
1252	37615	37435
1253	37640	37399
1254	37667	37367
1255	37697	37337
1256	37721	37300
1257	37746	37266
1258	37771	37231
1259	37796	37196
1260	37819	37160
1261	37844	37124
1262	37889	37109
1263	37930	37090
1264	37963	37063
1265	38000	37040
1266	38045	37024
1267	38107	37025
1268	38156	37013
1269	38193	36991
1270	38221	36958
1271	38256	36933
1272	38413	37025
1273	38442	36994
1274	38467	36959
1275	38495	36926
1276	38516	36888
1277	38536	36848
1278	38555	36807
1279	38576	36767
1280	38597	36729
1281	38617	36689
1282	38644	36656
1283	38676	36628
1284	38702	36593
1285	38718	36550
1286	38735	36508
1287	38754	36467
1288	38772	36426
1289	38790	36385
1290	38810	36345
1291	38831	36306
1292	38849	36265
1293	38867	36224
1294	38885	36182
1295	38910	36148
1296	38935	36113
1297	38960	36078
1298	38988	36047
1299	39008	36007
1300	39026	35967
1301	39045	35926
1302	39063	35886
1303	39086	35849
1304	39105	35809
1305	39129	35774
1306	39153	35738
1307	39172	35698
1308	39200	35666
1309	39228	35635
1310	39246	35594
1311	39265	35554
1312	39283	35513
1313	39300	35471
1314	39318	35431
1315	39335	35389
1316	39352	35348
1317	39371	35308
1318	39388	35267
1319	39417	35236
1320	39529	35280
1321	39608	35293
1322	39636	35262
1323	39663	35229
1324	39688	35195
1325	39712	35160
1326	39735	35123
1327	39754	35084
1328	39775	35046
1329	39794	35007
1330	39810	34964
1331	39828	34924
1332	39846	34884
1333	39866	34846
1334	39888	34809
1335	39916	34777
1336	39941	34743
1337	39963	34706
1338	39986	34670
1339	40015	34640
1340	40036	34602
1341	40063	34570
1342	40082	34531
1343	40102	34492
1344	40120	34452
1345	40140	34414
1346	40157	34373
1347	40177	34335
1348	40194	34295
1349	40217	34259
1350	40247	34229
1351	40273	34196
1352	40290	34155
1353	40311	34119
1354	40332	34081
1355	40354	34045
1356	40372	34005
1357	40390	33965
1358	40408	33926
1359	40428	33888
1360	40452	33854
1361	40471	33815
1362	40492	33778
1363	40511	33739
1364	40528	33699
1365	40546	33660
1366	40564	33620
1367	40616	33609
1368	40770	33682
1369	40801	33653
1370	40825	33618
1371	40859	33592
1372	40883	33558
1373	40910	33526
1374	40943	33499
1375	40969	33466
1376	40997	33435
1377	41018	33397
1378	41042	33363
1379	41062	33325
1380	41085	33290
1381	41103	33251
1382	41122	33213
1383	41139	33173
1384	41159	33135
1385	41181	33099
1386	41201	33061
1387	41225	33027
1388	41252	32996
1389	41278	32963
1390	41312	32937
1391	41334	32901
1392	41354	32864
1393	41374	32826
1394	41393	32788
1395	41414	32752
1396	41431	32712
1397	41453	32676
1398	41474	32639
1399	41497	32605
1400	41522	32571
1401	41539	32532
1402	41558	32494
1403	41576	32456
1404	41602	32423
1405	41619	32384
1406	41636	32344
1407	41653	32304
1408	41671	32266
1409	41689	32228
1410	41713	32194
1411	41735	32158
1412	41786	32145
1413	41940	32211
1414	41962	32176
1415	41987	32143
1416	42018	32114
1417	42047	32084
1418	42066	32046
1419	42086	32009
1420	42103	31970
1421	42121	31931
1422	42141	31894
1423	42161	31858
1424	42183	31822
1425	42199	31782
1426	42216	31743
1427	42235	31705
1428	42255	31669
1429	42277	31634
1430	42295	31595
1431	42325	31566
1432	42354	31537
1433	42376	31501
1434	42392	31461
1435	42411	31424
1436	42432	31388
1437	42447	31348
1438	42466	31311
1439	42484	31273
1440	42502	31235
1441	42528	31203
1442	42550	31168
1443	42573	31134
1444	42647	31136
1445	42677	31108
1446	42705	31077
1447	42729	31043
1448	42748	31006
1449	42764	30967
1450	42785	30931
1451	42808	30897
1452	42834	30865
1453	42852	30828
1454	42875	30793
1455	42905	30764
1456	42944	30742
1457	43103	30804
1458	43131	30774
1459	43158	30743
1460	43184	30710
1461	43205	30675
1462	43223	30637
1463	43253	30608
1464	43275	30573
1465	43292	30535
1466	43312	30498
1467	43331	30461
1468	43372	30440
1469	43402	30411
1470	43420	30373
1471	43437	30335
1472	43455	30297
1473	43476	30262
1474	43500	30228
1475	43521	30194
1476	43541	30157
1477	43559	30120
1478	43580	30084
1479	43602	30050
1480	43621	30013
1481	43638	29975
1482	43655	29937
1483	43674	29900
1484	43694	29865
1485	43713	29828
1486	43729	29790
1487	43746	29752
1488	43765	29716
1489	43784	29679
1490	43807	29646
1491	43830	29612
1492	43848	29575
1493	43875	29544
1494	43913	29520
1495	43942	29490
1496	43972	29462
1497	43992	29426
1498	44009	29388
1499	44027	29351
1500	44051	29318
1501	44081	29289
1502	44112	29261
1503	44271	29317
1504	44310	29295
1505	44336	29262
1506	44362	29231
1507	44393	29203
1508	44419	29171
1509	44438	29135
1510	44462	29102
1511	44486	29069
1512	44511	29037
1513	44532	29002
1514	44557	28969
1515	44578	28934
1516	44595	28897
1517	44611	28859
1518	44636	28826
1519	44661	28794
1520	44680	28758
1521	44700	28723
1522	44718	28686
1523	44737	28650
1524	44757	28615
1525	44776	28579
1526	44794	28543
1527	44813	28507
1528	44839	28475
1529	44857	28439
1530	44882	28406
1531	44910	28376
1532	44946	28351
1533	44970	28318
1534	44988	28282
1535	45008	28247
1536	45027	28211
1537	45046	28176
1538	45065	28140
1539	45082	28103
1540	45100	28067
1541	45119	28031
1542	45148	28001
1543	45168	27967
1544	45192	27934
1545	45208	27897
1546	45228	27862
1547	45246	27826
1548	45265	27790
1549	45312	27772
1550	46368	28371
1551	46390	28336
1552	46488	28348
1553	46636	28390
1554	46745	28408
1555	46841	28418
1556	46897	28403
1557	47018	28428
1558	47066	28408
1559	47117	28391
1560	47187	28385
1561	47228	28361
1562	47256	28329
1563	47283	28297
1564	47311	28266
1565	47374	28255
1566	47544	28308
1567	47646	28320
1568	47670	28286
1569	47699	28254
1570	47729	28224
1571	47750	28188
1572	47768	28150
1573	47789	28115
1574	47818	28084
1575	47847	28052
1576	47871	28018
1577	47897	27985
1578	47924	27953
1579	47950	27920
1580	47973	27886
1581	47996	27851
1582	48027	27821
1583	48101	27816
1584	48125	27782
1585	48153	27750
1586	48178	27716
1587	48202	27682
1588	48226	27649
1589	48253	27616
1590	48275	27581
1591	48299	27547
1592	48320	27512
1593	48343	27477
1594	48364	27441
1595	48384	27405
1596	48407	27371
1597	48431	27337
1598	48448	27299
1599	48469	27264
1600	48487	27226
1601	48503	27188
1602	48520	27151
1603	48552	27121
1604	48593	27097
1605	48628	27069
1606	48749	27089
1607	48844	27095
1608	48874	27064
1609	48904	27034
1610	48927	26999
1611	48949	26964
1612	48979	26934
1613	49000	26898
1614	49018	26861
1615	49039	26826
1616	49058	26789
1617	49081	26755
1618	49111	26724
1619	49134	26690
1620	49153	26653
1621	49171	26616
1622	49189	26579
1623	49209	26544
1624	49228	26507
1625	49247	26471
1626	49265	26434
1627	49282	26397
1628	49308	26364
1629	49327	26328
1630	49351	26294
1631	49369	26257
1632	49392	26223
1633	49411	26187
1634	49428	26150
1635	49447	26114
1636	49466	26077
1637	49484	26041
1638	49501	26004
1639	49517	25966
1640	49535	25929
1641	49556	25895
1642	49578	25860
1643	49601	25826
1644	49626	25793
1645	49643	25756
1646	49663	25721
1647	49683	25685
1648	49701	25649
1649	49720	25613
1650	49737	25576
1651	49753	25539
1652	49773	25503
1653	49790	25467
1654	49809	25431
1655	49901	25433
1656	50021	25448
1657	50046	25415
1658	50069	25381
1659	50095	25349
1660	50115	25314
1661	50138	25280
1662	50179	25255
1663	50198	25219
1664	50214	25182
